荆门市罗汉山海丰煤矿有限公司,http://www.zk71.com/qiye/7267121.html,陈万国,50万(元),2005/12/2,地址：荆门市掇刀区十里牌林场罗汉山分场,荆门市罗汉山海丰煤矿有限公司成立于2005年12月2日，注册地位于荆门市掇刀区十里牌林场罗汉山分场，法定代表人为陈万国，经营范围包括：煤炭生产、销售（有效期至2006年8月）。
桦南红光林业煤炭有限公司二煤矿,http://www.zk71.com/qiye/1545.html,高文福,-,2018/3/22,地址：黑龙江省七台河市茄子河区桦南林业局密林经营所,桦南红光林业煤炭有限公司二煤矿成立于2018年3月22日，注册地位于黑龙江省七台河市茄子河区桦南林业局密林经营所，法定代表人为高文福，经营范围包括：煤炭开采，
吉安市鑫宏砂石有限公司,http://www.zk71.com/qiye/11578722.html,彭木根,800万(元),2017/3/9,地址：江西省吉安市青原区河东经济开发区华能工业园B-25-10-1地块,吉安市鑫宏砂石有限公司成立于2017年3月9日 至今要已有4年，位于江西省吉安市青原区河东经济开发区华能工业园B-25-10-1地块，法定代表人为彭木根，经营范围为：河砂开采、销售。(依法须经批准的项目 经相关部门批准后方可开展经营活动)
肃北县宝鑫矿业有限责任公司,http://www.zk71.com/qiye/13252332.html,童忠国,500万(元),2011/11/3,地址：甘肃省酒泉市肃北蒙古族自治县石包城乡,肃北县宝鑫矿业有限责任公司注册于甘肃省酒泉市肃北蒙古族自治县石包城乡，成立时间2011年11月3日，法人代表童忠国，主要经营包括：矿产品加工、销售；物流；煤炭、焦炭、重油销售（以上须经批准的项目，经相关部门批准后，方可开展经营活动）
巢湖市散兵镇桥湾三矿,http://www.zk71.com/qiye/5330417.html,苏其松,3万(元),2003/10/1,地址：-,巢湖市散兵镇桥湾三矿成立于2003年10月1日，法定代表人为苏其松，经营范围包括：开采、销售：建筑石料用灰岩（凭开采许可证经营）。
羊场煤矿沙背冲矿井,http://www.zk71.com/qiye/4509965.html,陆继标,-,2012/6/6,地址：云南省曲靖市宣威市羊场镇大松树村委会,羊场煤矿沙背冲矿井成立于2012年6月6日，注册地位于云南省曲靖市宣威市羊场镇大松树村委会，法定代表人为陆继标，经营范围包括：煤炭开采销售。 兼营范围：
抚顺市东露型煤厂,http://www.zk71.com/qiye/7760507.html,张忠礼,10.3万(元),1990/7/5,地址：-,抚顺市东露型煤厂成立于1990年7月5日 至今要已有31年，法定代表人为张忠礼，经营范围为：空
赣州汇通铜业有限公司,http://www.zk71.com/qiye/11967375.html,吴美鹏,2 000万(元),2016/11/21,地址：江西省赣州市石城县屏山创业园B1,赣州汇通铜业有限公司成立于2016年11月21日，注册地位于江西省赣州市石城县屏山创业园B1，法定代表人为吴美鹏，经营范围包括：金属制品、铜杆、铜丝、铜线、铜材、电解铜及铜锭、铜棒、铜配件、铝锭、铝制品生产、加工、销售；电线电缆销售；自营和代理各类商品和技术的进出口业务。(依法须经批准的项目 经相关部门批准后方可开展经营活动)
柳林县九鼎煤化有限责任公司,http://www.zk71.com/qiye/189905.html,康天平,1 500万(元),2012/3/6,地址：山西省吕梁市柳林县穆村镇沙曲村大洼自然村,柳林县九鼎煤化有限责任公司创建于2012年3月6日，坐落于山西省吕梁市柳林县穆村镇沙曲村大洼自然村，法人代表为康天平，经营范围包括：原煤洗选加工、精煤销售（筹建）。（国家禁止经营的不得经营，国家规定需取得许可证和资质证的，取得后方可从事生产经营活动。）；
安徽泾县金石矿业粉体有限公司苏岭分公司,http://www.zk71.com/qiye/5296716.html,晏拯,-,2011/6/3,地址：安徽省宣城市泾县桃花潭镇苏岭村,安徽泾县金石矿业粉体有限公司苏岭分公司成立于2011年6月3日 至今要已有10年，位于安徽省宣城市泾县桃花潭镇苏岭村，法定代表人为晏拯，经营范围为：方解石开采（凭有效许可证经营）。
